timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-02T02:23:38,275326773,USDJPY,SELL,SUPERTREND,RANGING,LOSS,-0.1188,-6.89,156.8125,156.8925,156.6925,PROFIT_PROTECT,0.2,0.7196,45,0.4,20.41,0.030642
2026-05-02T02:24:01,275329527,BTCUSD,BUY,SUPERTREND,COMPRESSION,WIN,0.1973,2.96,78223.71,78073.71,78448.71,BREAKEVEN,0.3,0.8877,45,0.1,15.0,92.724563
2026-05-02T02:25:05,275351770,BTCUSD,BUY,SUPERTREND,COMPRESSION,WIN,0.8733,13.1,78178.8,78028.8,78403.8,TP,0.3,0.8877,45,0.1,15.0,96.128319
2026-05-02T02:34:03,275385232,GBPUSD,SELL,INSIDE_BAR,COMPRESSION,WIN,0.4835,16.05,1.36116,1.36282,1.35867,TP,7.7,0.5807,45,0.2,33.2,0.000285
2026-05-02T03:04:36,275998630,BTCUSD,BUY,SUPERTREND,RANGING,LOSS,-1.0491,-30.54,78280.95,78086.88,78572.055,SL,4.2,0.8942,45,0.15,29.11,83.702888
2026-05-02T03:29:04,275999342,XAUUSD,BUY,SUPERTREND,RANGING,LOSS,-1.9294,-61.74,4640.08,4632.08,4652.08,SL,25.6,0.9317,35,0.04,32.0,2.456532
2026-05-02T03:30:36,275998673,GBPUSD,BUY,SUPERTREND,RANGING,LOSS,-0.4937,-17.2,1.36001,1.35922,1.36122,STAGNATION,30.0,0.6103,45,0.4,32.0,0.000228
2026-05-02T03:37:03,276000072,BTCUSD,SELL,INSIDE_BAR,RANGING,LOSS,-0.6974,-22.71,78135.795,78421.115,77707.815,STAGNATION,30.2,0.9904,45,0.11,31.39,82.976292
2026-05-02T03:55:24,276008602,AUDUSD,SELL,INSIDE_BAR,COMPRESSION,WIN,0.1811,5.65,0.72125,0.72205,0.72005,BREAKEVEN,2.2,0.8411,45,0.39,31.2,0.000129
2026-05-02T03:59:29,276009158,USDJPY,SELL,SUPERTREND,RANGING,LOSS,-0.1894,-5.48,156.9195,157.03303,156.7492,BREAKEVEN,3.0,0.7196,45,0.4,28.94,0.022946
2026-05-02T03:59:41,276008141,BTCUSD,BUY,SUPERTREND,COMPRESSION,LOSS,-0.0727,-2.29,78541.26,78091.22,79216.32,BREAKEVEN,6.6,0.8877,35,0.07,31.5,72.644632
2026-05-02T05:27:31,276021188,GBPUSD,BUY,INSIDE_BAR,RANGING,LOSS,-0.2537,-8.32,1.35845,1.35745,1.35996,STAGNATION,30.2,0.7131,45,0.32,32.16,0.0002
2026-05-02T06:20:36,276029179,GBPUSD,SELL,INSIDE_BAR,RANGING,WIN,0.1596,5.1,1.35738,1.35832,1.35597,STAGNATION,30.1,0.5693,45,0.34,31.96,0.000137
2026-05-02T06:20:57,276029215,USDJPY,BUY,INSIDE_BAR,COMPRESSION,LOSS,-0.4699,-10.19,157.09,157.007,157.2145,STAGNATION,30.1,0.774,45,0.4,21.13,0.013585
2026-05-02T07:41:28,276040676,BTCUSD,BUY,INSIDE_BAR,RANGING,WIN,0.1596,5.0,78067.92,77676.38,78655.23,BREAKEVEN,14.1,0.9718,45,0.08,31.32,66.550995
2026-05-02T17:30:11,276044251,ETHUSD,SELL,INSIDE_BAR,COMPRESSION,LOSS,-20.3684,-0.35,2296.56,2315.265,2277.855,STAGNATION,60.1,0.8085,45,0.04,0.75,3.410506
2026-05-02T20:10:05,276045109,ETHUSD,BUY,INSIDE_BAR,COMPRESSION,LOSS,-0.1192,-0.27,2307.16,2288.29,2326.03,STAGNATION,60.0,0.8959,45,0.08,1.51,3.491377
2026-05-02T20:31:06,276045215,BTCUSD,SELL,INSIDE_BAR,CHOP,WIN,0.0463,0.18,78264.5,78489.5,78039.5,STAGNATION,60.1,0.9732,53,0.1,22.5,45.152304
2026-05-02T22:00:14,276046243,ETHUSD,SELL,INSIDE_BAR,WEAK_TREND,LOSS,-7.7692,-1.75,2299.23,2317.11,2281.35,PROFIT_PROTECT,10.1,0.5979,45,0.25,4.47,4.067367
