timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-05T02:11:02,276445023,NZDUSD,SELL,INSIDE_BAR,,WIN,0.7488,15.3,,,,SL,48.1,,,,,
2026-05-05T02:11:04,276449756,NZDUSD,SELL,INSIDE_BAR,,WIN,0.7415,16.8,,,,SL,42.8,,,,,
2026-05-05T02:26:48,276473356,GBPJPY,SELL,,,LOSS,-1.0002,-12.75,,,,SL,0.0,,,,,
2026-05-05T02:37:25,276487299,USDJPY,BUY,INSIDE_BAR,,WIN,0.2017,3.03,,,,MANUAL,2.1,,,,,
2026-05-05T02:40:34,276487620,GBPUSD,SELL,INSIDE_BAR,,WIN,0.3155,4.59,,,,MANUAL,3.8,,,,,
2026-05-05T02:47:38,276487710,GBPJPY,SELL,INSIDE_BAR,,WIN,0.4652,6.36,,,,SL,10.6,,,,,
2026-05-05T03:05:57,276495723,GBPUSD,BUY,INSIDE_BAR,,WIN,0.4844,7.38,,,,SL,4.1,,,,,
2026-05-05T03:17:13,276474790,XAUUSD,SELL,,,LOSS,-1.0016,-24.36,,,,SL,0.0,,,,,
2026-05-05T04:03:09,276461745,USDCAD,BUY,,,LOSS,-1.0002,-14.35,,,,SL,0.0,,,,,
2026-05-05T05:00:58,276524061,GBPJPY,SELL,INSIDE_BAR,,LOSS,-0.1012,-1.38,,,,PROFIT_PROTECT,0.2,,,,,
2026-05-05T06:07:27,276530735,GBPJPY,SELL,INSIDE_BAR,,LOSS,-1.0492,-13.36,,,,SL,37.2,,,,,
2026-05-05T12:07:24,276586381,GBPUSD,SELL,INSIDE_BAR,,LOSS,-0.7526,-5.18,,,,STAGNATION,45.0,,,,,
2026-05-05T12:08:09,276586600,USDCAD,BUY,INSIDE_BAR,,LOSS,-0.7437,-5.37,,,,STAGNATION,45.1,,,,,
