timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-04T00:27:22,276072446,BTCUSD,SELL,INSIDE_BAR,,LOSS,-0.2232,-5.71,,,,STAGNATION,60.0,,,,,
2026-05-04T04:49:19,276075071,BTCUSD,SELL,RSI_DIV,,LOSS,-0.0391,-0.88,,,,BREAKEVEN,0.8,,,,,
2026-05-04T12:11:31,276145389,NZDUSD,BUY,SUPERTREND,,WIN,0.3562,7.98,,,,TP,14.9,,,,,
2026-05-04T12:11:43,276142937,GBPUSD,BUY,RSI_DIV,,WIN,0.3813,8.54,,,,TP,27.0,,,,,
