timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-04-30T19:13:07,11111111,EURUSD,BUY,INSIDE_BAR,RANGING,WIN,1.42,12.07,1.0852,1.0835,1.0878,TP,524006.5,0.72,58,0.05,8.5,
2026-04-30T19:13:07,22222222,GBPJPY,SELL,INSIDE_BAR,TRANSITION,LOSS,-0.24,-1.25,192.45,192.58,192.25,STAGNATION,522339.8,0.69,53,0.01,5.2,
2026-04-30T19:13:07,33333333,XAUUSD,SELL,MEAN_REV,RANGING,LOSS,-1.02,-6.63,3318.5,3325.0,3311.0,SL,520673.1,0.81,66,0.01,6.5,
2026-04-30T19:40:48,296037457,USDCHF,SELL,SUPERTREND,TRANSITION,WIN,0.1433,10.22,0.78821,0.78966,0.78605,BREAKEVEN,8.7,0.9486,50,0.39,71.31,
2026-04-30T21:05:14,296075450,USDCAD,SELL,INSIDE_BAR,VOLATILE,WIN,1.3498,71.62,1.36548,1.36693,1.36331,TP,32.3,0.5986,53,0.5,53.06,
2026-05-01T02:32:58,274539573,USDCAD,BUY,MEAN_REV,RANGING,LOSS,-0.0327,-0.85,1.36079,1.36256,1.36344,BREAKEVEN,0.1,0.3966,65,0.2,25.96,0.000367
2026-05-01T02:44:20,274542199,USDCAD,BUY,MEAN_REV,COMPRESSION,LOSS,-0.0444,-0.99,1.36105,1.36256,1.36332,BREAKEVEN,0.1,0.2367,65,0.2,22.29,0.000367
2026-05-01T08:07:42,274596230,XAUUSD,BUY,INSIDE_BAR,VOLATILE,WIN,0.1563,1.79,4626.005,4614.555,4643.18,BREAKEVEN,4.5,0.5685,60,0.01,11.45,1.71702
2026-05-01T08:14:46,274597018,XAUUSD,BUY,INSIDE_BAR,TRANSITION,WIN,0.1972,2.38,4627.855,4615.78815,4645.95528,BREAKEVEN,7.0,0.5973,60,0.01,12.07,1.919577
2026-05-01T10:10:48,274610127,BTCUSD,BUY,INSIDE_BAR,TRANSITION,WIN,0.1817,3.54,76382.38,76187.57,76674.595,BREAKEVEN,10.0,0.7987,60,0.1,19.48,48.205999
2026-05-01T10:19:52,274612382,BTCUSD,BUY,INSIDE_BAR,COMPRESSION,WIN,0.0133,-0.45,76439.265,76196.045,76804.095,PROFIT_PROTECT,9.0,0.8009,60,0.1,24.32,56.33116
