timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-06T00:08:14,276754888,NZDUSD,BUY,,,WIN,0.2328,2.16,,,,TP,0.0,,,,,
2026-05-06T02:41:44,276856665,XAUUSD,SELL,INSIDE_BAR,,WIN,0.1268,1.49,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-06T02:43:16,276857529,XAUUSD,SELL,INSIDE_BAR,,WIN,0.0811,1.06,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-06T04:46:34,276885742,GBPUSD,SELL,INSIDE_BAR,,LOSS,-0.3187,-2.08,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-06T05:12:06,276890802,GBPUSD,SELL,INSIDE_BAR,,WIN,0.2938,1.76,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-06T08:42:08,276919825,GBPUSD,SELL,INSIDE_BAR,,LOSS,-0.275,-1.92,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-06T09:14:32,276931780,XAUUSD,BUY,INSIDE_BAR,,WIN,0.2431,8.25,,,,MANUAL,3.5,,,,,
2026-05-06T09:16:45,276933247,XAUUSD,BUY,INSIDE_BAR,,LOSS,-0.0865,-3.61,,,,SL,4.1,,,,,
2026-05-06T17:55:00,277087438,USDCAD,SELL,SUPERTREND,,LOSS,-0.25,-0.16,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-06T18:47:57,277104872,USDCHF,SELL,EMA_MOMENTUM,,WIN,0.2876,0.32,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-06T18:53:02,277109631,USDCHF,SELL,INSIDE_BAR,,WIN,1.1344,1.64,,,,SL,4.7,,,,,
2026-05-06T20:24:44,277149324,USDCHF,SELL,SUPERTREND,,LOSS,-0.5813,-0.59,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-06T20:51:35,277161554,USDCHF,SELL,INSIDE_BAR,,WIN,1.0563,1.21,,,,SL,9.1,,,,,
2026-05-06T20:51:37,277162732,USDCHF,SELL,INSIDE_BAR,,WIN,0.4771,0.76,,,,SL,7.5,,,,,
2026-05-06T20:54:04,277162536,USDCAD,SELL,EMA_MOMENTUM,,WIN,1.1217,0.66,,,,SL,10.1,,,,,
2026-05-06T23:05:58,277232174,GBPUSD,BUY,SUPERTREND,,LOSS,-1.0375,-1.66,,,,SL,16.9,,,,,
