timestamp,ticket,symbol,direction,strategy,regime,result,pnl_r,profit_usd,entry_price,sl,tp,exit_reason,duration_minutes,ml_probability,score,lots,risk_usd,atr_at_entry
2026-05-07T00:59:24,277295785,USDCHF,SELL,INSIDE_BAR,,LOSS,-0.1146,-0.41,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-07T06:28:30,277379933,XAUUSD,BUY,INSIDE_BAR,,LOSS,-0.7294,-6.18,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-07T08:23:53,277394206,XAUUSD,BUY,RSI_DIV,,WIN,0.2511,2.56,,,,MOMENTUM_STOP,15.1,,,,,
2026-05-07T09:17:14,277400750,XAUUSD,BUY,RSI_DIV,,WIN,0.005,-0.32,,,,MOMENTUM_STOP,15.0,,,,,
2026-05-07T10:04:26,277400052,XAUUSD,BUY,BB_BOUNCE,,LOSS,-0.045,-0.36,,,,SL,68.6,,,,,
2026-05-07T11:15:53,277429399,XAUUSD,BUY,INSIDE_BAR,,WIN,0.13,3.22,,,,MANUAL,1.2,,,,,
2026-05-07T11:21:31,277430942,XAUUSD,BUY,INSIDE_BAR,,LOSS,-0.1622,-4.81,,,,SL,4.1,,,,,
